Date,Close,Percent Change,50 MA,200 MA,EPS,EBIDTA,P/E,EV/EBITDA,1 YR,5 YR,30 YR,Recommendation,News,News Score
2023-01-05,125.0199966430664,-0.010604653061194957,142.19319931030273,151.3441499710083,1.89,38932000000.0,66.14814637199281,52.95154808276204,0.38,1.37,2.07,Sell,NEGATIVE,0.8992550373077393
2023-01-04,126.36000061035156,0.010314231379827232,142.6381994628906,151.49449996948243,1.89,38932000000.0,66.8571431800802,53.49682929696491,0.41,1.43,2.09,Buy,NEGATIVE,0.9948805570602416
2023-01-03,125.06999969482422,-0.035028168306055485,142.97879943847656,151.6157999420166,1.89,38932000000.0,66.17460301313452,52.971895578323256,0.45,1.47,2.09,Sell,POSITIVE,0.996917963027954
2022-12-29,129.61000061035156,0.02832433885189234,143.3545994567871,151.76409992218018,1.29,27759000000.0,100.472868690195,78.01643877593192,0.43,1.5,2.11,Buy,POSITIVE,0.748120903968811
2022-12-28,126.04000091552734,-0.03068521034551308,143.63739944458007,151.90864994049073,1.29,27759000000.0,97.70542706630026,75.96600387609934,0.46,1.53,2.11,Sell,POSITIVE,0.748120903968811
2022-12-27,130.02999877929688,-0.01387836965405731,143.9647994995117,152.09319992065429,1.29,27759000000.0,100.7984486661216,78.25766538015819,0.46,1.51,2.08,Sell,POSITIVE,0.748120903968811
2022-12-23,131.86000061035156,-0.0027981178941416385,144.13179962158202,152.23024993896485,1.29,27759000000.0,102.21705473670663,79.3087297896572,0.48,1.5,2.08,Sell,POSITIVE,0.9971152544021606
2022-12-22,132.22999572753906,-0.02377261936693542,144.35439971923827,152.36744995117186,1.29,27759000000.0,102.50387265700702,79.52123706301882,0.47,1.47,2.05,Sell,POSITIVE,0.748120903968811
2022-12-21,135.4499969482422,0.023809477126406797,144.4765997314453,152.5221499633789,1.29,27759000000.0,104.99999763429626,81.37064979266286,0.51,1.55,2.12,Buy,NEGATIVE,0.8356524109840393
2022-12-20,132.3000030517578,-0.0005287608069164396,144.54719970703124,152.67604995727538,1.29,27759000000.0,102.55814190058744,79.56144587901119,0.58,1.65,2.18,Sell,POSITIVE,0.9954656958580016
2022-12-19,132.3699951171875,-0.01590959391154889,144.709599609375,152.84734992980958,1.29,27759000000.0,102.61239931564923,79.60164593109424,0.57,1.62,2.14,Sell,NEGATIVE,0.996084451675415
2022-12-16,134.50999450683594,-0.014578794821714758,144.86399963378906,153.00149993896486,1.29,27759000000.0,104.27131357119065,80.83075792248103,0.6,1.62,2.14,Sell,POSITIVE,0.748120903968811
2022-12-15,136.5,-0.04685431463789913,145.08239959716798,153.15454994201662,1.29,27759000000.0,105.81395348837209,81.97372068518318,0.58,1.54,2.07,Sell,POSITIVE,0.748120903968811
2022-12-14,143.2100067138672,-0.015535811424151502,145.28039947509765,153.29629997253417,1.29,27759000000.0,111.01550908051719,85.8276235200129,0.58,1.53,2.1,Sell,POSITIVE,0.748120903968811
2022-12-13,145.47000122070312,0.006782446468835079,145.33819946289063,153.39394996643065,1.29,27759000000.0,112.7674428067466,87.12565489434736,0.65,1.56,2.12,Buy,NEGATIVE,0.9771952033042908
2022-12-12,144.49000549316406,0.01638999557563814,145.2777993774414,153.46694999694824,1.29,27759000000.0,112.00775619625121,86.56279281781941,0.7,1.66,2.16,Buy,POSITIVE,0.9949796795845032
2022-12-09,142.16000366210938,-0.0034349124103753015,145.15199920654297,153.5661000061035,1.29,27759000000.0,110.20155322644138,85.22455262749257,0.75,1.66,2.09,Sell,POSITIVE,0.996917963027954
2022-12-08,142.64999389648438,0.012132761639400691,145.3055990600586,153.69180000305175,1.29,27759000000.0,110.58139061742975,85.50597928380189,0.75,1.61,2.07,Buy,POSITIVE,0.748120903968811
