,GLD,GLD % Change,VNQ,VNQ % Change,USO,USO % Change,KO,KO % Change,TSLA,TSLA % Change,AAPL,AAPL % Change,AGG,AGG % Change,JNK,JNK % Change,50 MA,200 MA,Min Vol % Change By Weights,1 YR,5 YR,30 YR,Signal
1804,123.95,0.006006006006006,85.64,-0.0013992537313433,11.66,-0.0209907640638119,44.79,-0.004224099599822,215.47,-0.0192535275375511,95.33,0.0024185068349107,111.79,0.0027807678507356,102.12852349676226,0.0,0.0006009929243257,1.157340625645864,1.1246163845142203,0.6,1.23,2.52,1.0
1805,122.38,-0.0126663977410246,85.78,0.0016347501167679,11.14,-0.0445969125214408,45.31,0.0116097343156955,217.93,0.0114169025850465,97.55,0.0232875275359278,111.87,0.0007156275158779,102.12852349676226,0.0,0.0004394623450926,1.1573555629196377,1.124697235505693,0.68,1.36,2.58,1.0
1806,123.68,0.010622650759928,85.3,-0.0055957099557006,11.47,0.0296229802513465,45.01,-0.0066210549547561,217.7,-0.0010553847565732,97.14,-0.0042029728344438,111.8,-0.0006257262894431,102.12852349676226,0.0,0.0007967702014061,1.1573251865482608,1.1248068883371898,0.7,1.39,2.63,1.0
1807,122.77,-0.0073576972833118,84.5,-0.0093786635404454,11.73,0.0226678291194419,45.04,0.0006665185514329,214.96,-0.0125861276986678,97.46,0.0032942145357215,111.56,-0.0021466905187834,102.12852349676226,0.0,-0.0027263133987062,1.1571927580915429,1.1249014492801204,0.68,1.37,2.64,0.0
1808,122.64,-0.0010588906084547,84.72,0.0026035502958579,11.76,0.0025575447570331,45.12,0.0017761989342806,217.87,0.0135374023074059,97.34,-0.0012312743689717,111.61,0.0004481893151666,102.12852349676226,0.0,0.000810919408992,1.1570040049854795,1.124993325552815,0.68,1.39,2.65,1.0
1809,121.74,-0.0073385518590998,84.7,-0.0002360717658167,11.87,0.0093537414965985,45.99,0.0192819148936171,218.79,0.0042227016110523,98.83,0.01530717074173,111.52,-0.0008063793566884,102.12852349676226,0.0,0.0023610297380071,1.1568916321204652,1.1251057923263623,0.65,1.35,2.64,1.0
1810,121.25,-0.0040249712502052,85.1,0.0047225501770955,12.25,0.0320134793597304,45.76,-0.005001087192868,229.36,0.0483111659582249,99.65,0.0082970757867044,111.37,-0.0013450502152079,102.12852349676226,0.0,-0.0001994892465273,1.1567469925825624,1.1252185605477891,0.67,1.4,2.67,0.0
1811,120.58,-0.0055257731958763,84.91,-0.0022326674500586,12.43,0.0146938775510203,45.55,-0.0045891608391608,235.52,0.026857342169515,98.94,-0.0071249372804818,111.29,-0.0007183262997216,102.12852349676226,0.0,-0.0014124908288,1.1564938316438822,1.125346325556594,0.69,1.41,2.65,0.0
1812,118.82,-0.0145961187593299,84.37,-0.0063596749499469,12.22,-0.0168946098149637,45.32,-0.0050493962678375,232.34,-0.0135020380434782,99.03,0.0009096422073984,111.25,-0.0003594213316561,102.12852349676226,0.0,-0.0050768107374925,1.1561643364847491,1.1254511282919202,0.69,1.38,2.63,0.0
1813,118.92,0.0008416091567076,83.86,-0.0060448026549722,12.04,-0.0147299509001638,45.37,0.0011032656663723,220.68,-0.0501850735990359,98.63,-0.0040391800464506,111.15,-0.0008988764044943,102.12852349676226,0.0,-0.0020289006886312,1.1558253524862183,1.125537094130332,0.67,1.38,2.63,0.0
